u	v	angleDeg	lengthCm
0.185	0.707	53.779	30.04
0.702	0.475	104.973	19.482
0.573	0.076	93.271	6.638
0.168	0.007	43.771	2.648
0.944	0.993	172.696	112.551
0.943	0.969	172.635	82.007
0.129	0.738	22.499	32.727
0.833	0.472	132.433	19.368
0.468	0.049	87.276	5.457
0.55	0.329	91.65	14.43
0.553	0.231	91.823	11.68
0.239	0.698	69.705	29.367
0.761	0.526	110.404	21.58
0.181	0.328	51.661	14.395
0.405	0.129	84.515	8.305
0.854	0.697	146.346	29.292
0.976	0.962	176.688	77.194
0.226	0.571	67.104	22.975
0.445	0.144	86.32	8.87
0.075	0.91	12.048	56.042
0.662	0.516	101.348	21.199
0.388	0.002	83.449	2.102
0.837	0.449	134.825	18.389
0.151	0.793	32.128	37.719
0.347	0.766	80.808	35.274
0.489	0.031	88.234	4.147
0.149	0.334	31.386	14.568
0.357	0.317	81.457	14.046
0.963	0.855	175.029	44.083
0.132	0.475	23.562	19.492
0.01	0.951	1.372	71.032
0.165	0.934	41.452	64.936
0.81	0.922	119.863	60.61
0.869	0.599	154.681	23.804
0.514	0.016	89.547	3.318
0.627	0.413	98.156	17.106
0.844	0.295	140.178	13.401
0.285	0.748	75.926	33.629
0.667	0.697	101.821	29.244
0.15	0.725	32.109	31.554
0.982	0.945	177.518	68.53
0.297	0.257	77.074	12.425
0.115	0.884	18.893	48.084
0.163	0.742	40.464	33.075
0.944	0.792	172.729	37.649
0.795	0.661	115.478	26.707
0.975	0.99	176.443	105.335
0.349	0.329	80.929	14.404
0.502	0.115	88.895	7.767
0.81	0.383	119.94	16.239
0.007	0.954	0.808	72.43
0.015	0.959	2.152	75.418
0.683	0.397	103.26	16.656
0.93	0.459	170.018	18.818
0.275	0.649	74.901	25.993
0.812	0.855	120.505	44.046
0.786	0.531	113.765	21.793
0.989	0.986	178.778	97.875
0.614	0.661	96.875	26.718
0.71	0.517	105.684	21.271
0.77	0.838	111.492	42.372
0.887	0.268	161.169	12.706
0.625	0.008	97.956	2.694
0.26	0.459	73.011	18.821
0.859	0.548	149.689	22.322
0.437	0.197	86.027	10.685
0.388	0.238	83.487	11.866
0.462	0.18	86.997	10.157
0.219	0.218	65.427	11.299
0.066	0.843	10.601	42.88
0.276	0.231	74.935	11.671
0.31	0.362	78.178	15.562
0.042	0.778	6.707	36.348
0.185	0.332	53.675	14.507
0.183	0.767	53.016	35.334
0.755	0.652	109.881	26.175
0.288	0.414	76.244	17.16
0.868	0.158	154.218	9.378
0.403	0.102	84.366	7.337
0.573	0.382	93.222	16.208
0.351	0.297	81.032	13.461
0.672	0.487	102.244	20.016
0.025	0.999	3.893	133.436
0.401	0.361	84.277	15.509
0.2	0.857	60.005	44.254
0.857	0.634	148.192	25.199
0.972	0.955	176.019	73.052
0.324	0.366	79.179	15.67
0.733	0.625	107.785	24.792
0.34	0.68	80.323	27.996
0.977	0.756	176.741	34.417
0.397	0.257	84.036	12.428
0.38	0.272	82.963	12.813
0.56	0.665	92.337	26.948
0.464	0.146	87.095	8.951
0.197	0.431	58.87	17.708
0.427	0.084	85.585	6.85
0.093	0.929	14.95	63.28
0.115	0.674	18.941	27.575
