u	v	angleDeg	lengthCm
0.185	0.724	53.779	31.446
0.702	0.142	104.973	8.808
0.573	0.233	93.271	11.717
0.168	0.661	43.771	26.71
0.944	0.382	172.696	16.208
0.943	0.978	172.635	89.671
0.129	0.107	22.499	7.515
0.833	0.071	132.433	6.491
0.468	0.413	87.276	17.118
0.55	0.766	91.65	35.274
0.553	0.297	91.823	13.461
0.239	0.218	69.705	11.299
0.761	0.954	110.404	72.327
0.181	0.779	51.661	36.443
0.405	0.866	84.515	45.252
0.854	0.157	146.346	9.346
0.976	0.292	176.688	13.324
0.226	0.83	67.104	41.507
0.445	0.193	86.32	10.54
0.075	0.77	12.048	35.604
0.662	0.547	101.348	22.284
0.388	0.357	83.449	15.391
0.837	0.954	134.825	72.325
0.151	0.329	32.128	14.404
0.347	0.701	80.808	29.589
0.489	0.126	88.234	8.196
0.149	0.969	31.386	82.007
0.357	0.248	81.457	12.155
0.963	0.692	175.029	28.844
0.132	0.014	23.562	3.192
0.01	0.265	1.372	12.637
0.165	0.909	41.452	55.839
0.81	0.072	119.863	6.499
0.869	0.631	154.681	25.061
0.514	0.197	89.547	10.664
0.627	0.448	98.156	18.349
0.844	0.362	140.178	15.555
0.285	0.725	75.926	31.554
0.667	0.854	101.821	44.005
0.15	0.394	32.109	16.554
0.982	0.086	177.518	6.898
0.297	0.872	77.074	45.982
0.115	0.441	18.893	18.061
0.163	0.475	40.464	19.508
0.944	0.946	172.729	68.666
0.795	0.02	115.478	3.521
0.975	0.049	176.443	5.457
0.349	0.997	80.929	124.667
0.502	0.461	88.895	18.887
0.81	0.311	119.94	13.868
0.007	0.924	0.808	61.301
0.015	0.857	2.152	44.334
0.683	0.761	103.26	34.795
0.93	0.857	170.018	44.254
0.275	0.593	74.901	23.609
0.812	0.016	120.505	3.318
0.786	0.863	113.765	44.878
0.989	0.001	178.778	1.942
0.614	0.26	96.875	12.515
0.71	0.591	105.684	23.555
0.77	0.933	111.492	64.627
0.887	0.139	161.169	8.69
0.625	0.403	97.956	16.835
0.26	0.237	73.011	11.845
0.859	0.216	149.689	11.224
0.437	0.955	86.027	73.052
0.388	0.775	83.487	36.058
0.462	0.926	86.997	62.182
0.219	0.317	65.427	14.046
0.066	0.998	10.601	129.208
0.276	0.286	74.935	13.164
0.31	0.984	78.178	95.682
0.042	0.137	6.707	8.616
0.185	0.769	53.675	35.561
0.183	0.18	53.016	10.137
0.755	0.393	109.881	16.52
0.288	0.847	76.244	43.316
0.868	0.168	154.218	9.729
0.403	0.563	84.366	22.759
0.573	0.978	93.222	89.328
0.351	0.425	81.032	17.496
0.672	0.724	102.244	31.479
0.025	0.473	3.893	19.397
0.401	0.383	84.277	16.236
0.2	0.124	60.005	8.12
0.857	0.459	148.192	18.821
0.972	0.073	176.019	6.534
0.324	0.697	79.179	29.244
0.733	0.414	107.785	17.16
0.34	0.792	80.323	37.649
0.977	0.767	176.741	35.334
0.397	0.144	84.036	8.87
0.38	0.603	82.963	23.961
0.56	0.019	92.337	3.475
0.464	0.569	87.095	22.929
0.197	0.344	58.87	14.927
0.427	0.624	85.585	24.735
0.093	0.49	14.95	20.135
0.115	0.952	18.941	71.469
0.44	0.893	86.129	50.232
0.201	0.348	60.33	15.067
0.428	0.36	85.615	15.47
0.981	0.62	177.334	24.566
0.829	0.642	129.427	25.603
0.287	0.268	76.137	12.701
0.596	0.008	95.167	2.694
0.899	0.364	164.094	15.626
0.453	0.002	86.663	2.003
0.147	0.898	30.341	51.791
0.129	0.243	22.349	12.023
0.025	0.27	3.831	12.764
0.736	0.063	108.07	6.184
0.373	0.781	82.529	36.611
0.574	0.797	93.351	38.136
0.825	0.884	127.201	48.084
0.814	0.007	121.258	2.648
0.873	0.698	156.321	29.311
0.111	0.475	17.979	19.492
0.953	0.792	173.967	37.632
0.569	0.059	92.947	6.024
0.037	0.786	5.811	37.081
0.245	0.734	70.792	32.339
0.979	0.455	177.063	18.643
0.886	0.115	160.813	7.767
0.241	0.782	70.072	36.736
0.757	0.64	110.059	25.48
0.563	0.471	92.506	19.346
0.305	0.531	77.757	21.793
0.694	0.808	104.182	39.2
0.336	0.399	80.041	16.7
0.206	0.761	61.981	34.867
0.919	0.516	167.956	21.199
0.023	0.329	3.539	14.43
0.964	0.814	175.142	39.813
0.316	0.21	78.599	11.072
0.666	0.845	101.677	43.081
0.534	0.65	90.64	26.025
0.818	0.885	123.12	48.343
0.185	0.807	53.967	39.085
0.4	0.994	84.185	116.174
0.178	0.971	50.331	83.635
0.285	0.122	75.983	8.04
0.629	0.268	98.373	12.706
0.3	0.238	77.341	11.866
0.444	0.786	86.275	37.103
0.73	0.603	107.512	23.937
0.668	0.363	101.904	15.568
0.312	0.321	78.277	14.149
0.479	0.334	87.75	14.568
0.291	0.949	76.565	70.015
0.182	0.233	52.39	11.745
0.361	0.243	81.701	12.026
0.904	0.487	165.071	20.016
0.394	0.803	83.856	38.721
0.78	0.15	112.819	9.121
0.284	0.82	75.853	40.474
0.854	0.589	146.455	23.506
0.172	0.664	46.534	26.873
0.079	0.18	12.736	10.157
0.292	0.959	76.626	75.418
0.84	0.589	137.296	23.492
0.945	0.234	172.928	11.763
0.045	0.642	7.177	25.583
0.758	0.727	110.18	31.787
0.297	0.447	77.063	18.302
0.651	0.929	100.378	63.28
0.085	0.129	13.656	8.305
0.975	0.102	176.555	7.337
0.014	0.074	1.956	6.561
0.539	0.158	90.959	9.378
0.966	0.435	175.353	17.851
0.101	0.953	16.277	71.988
0.257	0.732	72.52	32.184
0.895	0.625	163.249	24.792
0.388	0.634	83.475	25.199
0.794	0.07	115.354	6.428
0.349	0.375	80.95	15.977
0.139	0.223	26.043	11.434
0.651	0.429	100.328	17.648
0.544	0.338	91.273	14.729
0.945	0.548	172.924	22.322
0.572	0.257	93.151	12.425
0.954	0.006	174.079	2.478
0.78	0.21	112.874	11.053
0.118	0.891	19.596	49.656
0.837	0.945	134.982	68.53
0.087	0.914	14.005	57.552
0.749	0.747	109.21	33.574
0.065	0.602	10.48	23.903
0.078	0.775	12.484	36.04
0.105	0.58	16.97	23.25
0.407	0.076	84.593	6.636
0.975	0.847	176.482	43.258
0.165	0.923	41.583	61.153
0.503	0.661	88.951	26.718
0.202	0.206	60.537	10.942
0.2	0.449	59.918	18.389
0.178	0.982	50.147	93.555
0.274	0.92	74.723	60.01
0.131	0.744	22.969	33.301
0.859	0.459	149.47	18.818
0.645	0.742	99.842	33.075
0.603	0.215	95.806	11.202
0.972	0.397	176.078	16.656
0.377	0.413	82.745	17.106
0.819	0.148	123.773	9.027
0.227	0.59	67.304	23.538
0.207	0.271	62.102	12.78
0.194	0.383	57.927	16.239
0.241	0.424	70	17.481
0.98	0.605	177.194	24.03
0.524	0.377	90.102	16.053
0.826	0.967	127.83	80.583
0.671	0.197	102.145	10.688
0.978	0.812	176.884	39.596
0.058	0.986	9.27	97.875
0.337	0.415	80.096	17.191
0.013	0.439	1.769	17.993
0.363	0.831	81.838	41.571
0.21	0.191	63.037	10.492
0.152	0.799	33.115	38.319
0.936	0.398	171.234	16.689
0.401	0.138	84.277	8.67
0.486	0.756	88.092	34.417
0.681	0.67	103.088	27.26
0.854	0.68	146.655	27.996
0.913	0.33	166.771	14.466
0.476	0.951	87.625	70.946
0.714	0.362	106.004	15.562
0.83	0.173	129.964	9.922
0.676	0.517	102.581	21.271
0.34	0.172	80.298	9.876
0.891	0.754	162.201	34.165
0.529	0.785	90.364	36.983
0.874	0.306	156.973	13.724
0.259	0.987	72.786	99.512
0.542	0.771	91.177	35.754
