x0	y0	x1	y1
106.16	201.679	106.247	325.423
131.838	70.046	165.861	78.01
223.381	382.785	234.902	380.718
355.981	337.377	370.585	380.902
79.229	344.762	82.117	410.196
354.703	306.419	364.008	272.534
370.258	131.264	385.482	165.022
259.453	311.562	269.185	313.252
244.835	21.34	258.457	-12.42
17.285	360.436	32.144	391.811
76.211	396.677	88.568	398.322
62.266	144.322	78.979	141.603
255.309	308.196	294.309	289.912
147.92	318.268	159.363	316.059
305.709	303.978	310.164	260.709
190.015	190.124	208.144	190.536
264.413	193.555	309.682	202.169
392.12	124.14	401.404	122.302
141.194	283.518	162.834	272.492
307.165	307.289	314.791	350.945
366.837	141.419	380.927	206.355
79.244	204.586	90.47	207.2
227.315	239.794	294.024	290.614
33.197	53.801	67.247	60.733
102.259	132.243	111.518	143.347
150.597	182.104	158.295	142.507
-2.09	32.5	12.803	35.749
149.896	421.483	156.014	324.575
337.592	340.225	358.16	330.482
123.38	355.759	148.899	347.787
186.988	352.883	198.676	395.687
227.535	25.939	252.118	32.03
194.374	151.417	200.459	151.591
62.514	210.416	86.46	219.876
329.099	41.632	332.799	42.408
256.78	318.921	277.993	322.429
315.726	296.172	319.666	295.541
35.905	23.364	50.45	18.355
279.646	193.493	299.323	192.243
153.884	364.532	175.136	371.882
322.461	15.794	334.296	17.429
252.111	118.827	265.537	116.367
308.5	202.293	317.846	198.387
213.669	187.652	228.76	300.148
208.412	105.686	215.364	105.713
314.068	101.544	317.417	236.935
-7.699	134.683	26.364	158.568
188.912	345.832	192.872	408.172
284.049	96.11	301.802	2.869
268.173	30.278	286.012	25.748
182.391	393.64	199.704	377.814
341.396	176.987	347.571	177.021
170.409	147.728	180.069	148.49
85.743	72.275	110.095	63.92
23.868	19.224	32.675	24.128
34.236	262.888	45.337	263.374
117.499	229.625	135.519	232.905
200.171	390.375	214.737	399.306
259.546	242.302	270.058	240.732
158.501	25.763	166.963	26.196
356.714	66.513	373.587	63.174
93.976	195.417	140.907	184.901
171.022	-3.608	196.231	5.154
122.165	172.014	143.75	181.153
253.704	128.531	266.993	80.213
101.747	391.207	104.666	359.524
188.154	272.382	194.682	300.285
298.485	65.766	314.564	64.703
21.389	195.422	46.008	185.528
346.232	276.277	354.025	275.928
133.904	184.353	137.354	184.363
329.166	388.044	342.386	376.073
134.913	284.738	142.433	285.295
126.608	157.792	140.412	159.926
187.621	46.934	193.46	47.242
351.394	96.145	362.364	95.948
344.213	345.338	347.258	345.566
147.269	177.424	164.723	171.357
301.688	209.577	320.168	188.717
382.956	276.952	385.538	276.59
167.743	304.594	179.984	303.657
277.739	65.064	292.273	59.257
155.562	326.208	164.434	353.358
126.791	402.995	133.491	354.46
296.316	234.98	309.354	235.756
74.565	187.076	87.589	214.725
281.842	61.283	287.055	90.541
45.614	0.902	51.74	0.567
92.844	349.256	103.547	352.807
55.533	72.583	59.111	34.706
84.491	13.297	107.212	4.896
22.864	374.658	24.284	376.651
253.288	106.116	260.543	128.243
330.686	75.506	370.33	55.955
297.968	162.381	325.163	156.901
307.721	180.956	330.126	186.704
179.462	173.568	184.757	173.656
155.214	204.663	172.853	208.944
314.681	340.649	334.015	336.348
231.909	25.398	252.037	18.734
252.565	224.185	271.214	219.156
137.829	275.42	144.729	275.2
101.743	261.746	114.465	264.7
390.654	264.323	403.494	266.351
236.027	194.304	270.767	183.483
62.321	375.238	108.245	400.384
41.785	163.377	61.713	158.38
184.075	358.586	198.419	321.056
365.488	322.275	373.772	283.041
238.607	213.045	240.402	213.036
386.114	349.489	394.822	349.831
290.17	229.207	295.264	144.485
129.695	-1.903	155.686	8.406
169.768	310.979	175.411	271.235
55.546	265.926	63.023	307.346
-1.473	74.072	11.935	75.869
284.538	259.372	287.915	257.482
33.732	218.853	48.815	214.731
168.212	137.665	188.816	130.591
249.047	255.332	263.034	254.995
392.014	331.988	401.457	331.372
191.86	282.632	204.615	284.548
185.332	137.755	202.148	141.085
58.364	55.604	80.39	47.058
293.639	156.566	310.218	153.897
174.726	372.65	188.391	369.892
185.762	310.535	223.174	332.978
60.284	295.309	105.752	311.648
88.225	382.97	94.701	382.83
234.086	397.468	242.484	397.663
212.871	235.921	247.027	249.232
25.809	-7.025	35.842	30.527
7.866	135.062	20.566	134.095
246.788	83.427	267.448	138.7
360.607	65.005	382.285	28.753
228.849	21.071	249.624	13.504
217.406	148.339	231.314	147.909
208.641	134.71	212.181	134.793
385.93	68.601	402.146	70.321
192.229	244.961	213.884	252.458
273.068	176.143	273.163	142.132
237.588	382.028	243.645	382.512
86.736	258.956	104.359	263.724
96.193	131.002	110.34	131.993
283.925	79.865	299.523	77.852
170.654	44.388	191.402	47.886
66.433	398.574	73.668	398.198
285.953	152.765	311.406	150.656
33.227	228.731	50.763	220.86
338.137	297.52	353.499	288.655
241.96	320.998	249.756	375.646
218.731	228.587	226.996	229.149
125.472	-19.094	137.55	27.923
178.612	381.792	183.894	343.26
193.576	308.748	206.777	307.775
67.061	152.856	77.632	153.148
208.304	37.36	215.4	37.877
28.617	26.135	31.603	13.588
106.31	327.652	115.895	329.278
82.928	300.985	87.232	362.475
95.984	256.231	131.849	267.555
351.843	53.79	364.232	52.472
173.476	155.609	183.512	117.839
305.168	294.702	318.82	290.395
344.051	361.277	360.444	364.557
159.743	279.649	170.756	277.308
15.784	91.559	35.263	101.705
124.528	262.816	143.862	252.47
287.521	112.272	291.46	112.328
132.702	383.023	137.391	383.086
241.29	66.741	263.041	59.976
328.776	157.265	343.716	177.406
332.833	95.144	352.072	106.464
152.975	37.621	160.112	37.891
146.931	330.633	157.464	331.541
356.864	223.689	359.493	196.555
252.928	236.272	262.524	297.926
291.59	163.031	301.273	163.591
235.452	358.161	248.79	315.911
351.249	293.112	371.216	296.732
105.714	138.044	129.27	140.535
62.519	364.857	90.489	394.293
352.134	241.001	357.027	276.343
196.33	4.179	206.341	24.043
339.025	226.802	362.621	250.357
67.944	166.975	83.411	165.28
291.885	29.72	314.597	31.798
286.712	246.871	292.887	175.568
374.568	384.744	380.411	385.122
211.338	280.971	226.779	286.021
277.279	217.261	292.116	225.519
147.061	96.198	164.064	98.167
34.453	309.621	46.245	312.813
369.687	274.636	372.154	246.917
112.495	321.93	114.091	342.267
234.856	267.919	237.602	250.921
37.099	190.915	51.189	192.953
329.164	201.697	343.241	194.355
116.634	165.843	137.737	138.055
307.843	157.126	318.438	203.262
90.883	319.606	123.124	331.795
80.57	384.888	94.347	358.133
200.079	58.777	213.358	59.207
99.84	298.267	115.321	301.591
67.065	391.447	77.87	389.079
199.265	392.175	215.595	387.659
209.966	111.609	240.26	168.892
49.902	132.131	53.423	183.029
95.415	378.529	109.679	382.231
282.457	54.097	291.891	31.222
374.98	377.166	394.148	370.643
33.06	123.287	47.053	153.643
297.415	222.378	313.164	204.07
374.155	217.247	384.218	213.789
322.428	285.497	332.48	286.277
111.597	165.4	135.037	159.232
254.947	42.632	264.717	79.599
378.587	136.021	384.098	136.165
376.881	250.762	386.105	250.562
129.751	-10	142.232	55.898
97.085	342.642	112.894	338.692
62.04	95.171	70.323	74.946
126.215	238.816	131.52	192.753
191.669	54.775	216.431	54.415
365.925	144.939	373.25	114.953
201.114	284.124	207.654	212.737
98.55	102.036	107.547	102.75
11.155	249.567	26.014	258.334
163.396	199.691	170.889	188.847
337.79	375.426	345.411	375.116
135.418	326.839	142.367	359.162
49.342	137.99	55.812	158.717
143.839	124.706	155.75	126.656
250.633	331.261	254.503	331.567
113.047	171.203	199.016	190.27
267.412	125.536	284.29	127.166
273.359	38.982	278.171	39.265
215.222	25.913	228.699	26.007
162.228	272.985	181.472	278.58
177.138	267.001	185.038	267.439
119.302	362.176	125.852	361.462
227.407	99.734	235.276	141.62
360.615	373.6	367.682	372.647
50.48	79.184	63.604	82.403
158.736	315.855	173.302	318.048
77.874	90.83	90.867	88.874
170.78	28.902	172.22	-4.296
47.03	346.596	59.122	343.031
177.545	287.695	190.532	260.391
362.714	374.755	391.652	378.905
295.801	264.226	313.778	276.457
368.974	327.71	377.354	346.786
183.269	145.349	193.274	144.167
235.194	142.698	247.676	171.194
191.573	227.344	196.419	226.806
30.218	43.138	56.827	32.984
96.408	68.31	101.774	86.717
189.9	238.403	208.912	232.05
144.703	300.376	153.59	300.828
372.73	380.74	375.024	313.051
203.558	148.948	215.631	148.489
124.167	309.741	129.548	329.311
107.136	23.489	115.237	23.162
307.191	286.385	322.842	212.364
274.963	128.929	287.007	156.384
64.487	222.467	67.536	247.875
17.784	365.775	33.782	365.253
295.224	81.753	308.541	77.801
238.848	147.269	257.48	147.998
55.204	271.516	80.458	265.611
21.538	307.42	28.234	307.096
43.598	259.365	43.626	158.434
147.347	330.803	158.026	331.657
62.216	212.25	73.233	209.427
103.606	206.756	135.316	194.648
71.425	167.296	82.343	168.682
100.973	125.889	104.763	163.95
62.534	54.224	82.452	44.519
180.257	124.478	201.594	114.051
304.265	125.633	312.325	95.708
5.062	307.388	17.168	308.792
208.926	318.826	212.923	303.719
351.106	75.095	353.149	39.934
119.23	221.056	179.221	191.364
12.003	237.229	26.364	240.563
52.032	213.321	58.871	191.354
124.019	154.152	133.174	154.728
59.432	174.43	64.433	166.448
49.129	19.954	56.653	-10.546
84.255	369.436	92.79	366.03
82.717	7.223	98.388	56.329
40.206	207.669	64.927	198.23
385.682	337.899	399.568	318.238
124.423	240.516	137.188	238.2
196.793	170.659	208.759	168.664
271.524	212.639	273.63	234.81
37.696	278.353	41.639	352.923
39.324	65.611	55.798	68.562
16.882	398.372	23.47	377.99
370.02	189.411	373.383	189.391
260.275	368.96	278.695	374.835
28.545	357.029	47.341	363.723
193.051	299.588	201.026	301.118
175.497	277.564	193.744	263.691
137.156	262.69	163.017	255.721
384.681	30.491	408.199	28.107
61.637	172.583	79.444	166.264
321.976	212.474	328.772	212.185
19.219	374.333	35.538	379.831
154.555	285.753	165.805	284.026
52.639	289.343	60.276	290.249
49.845	200.917	104.802	175.186
326.063	52.954	347.019	43.272
287.595	301.053	288.336	325.426
102.608	186.373	111.161	164.153
189.14	141.624	206.861	203.54
29.616	11.08	36.875	10.918
129.631	50.583	153.476	66.667
371.585	163.681	403.782	174.395
213.443	325.546	286.328	288.164
260.992	-11.874	270.703	15.687
115.456	235.331	134.536	247.545
155.584	358.945	168.968	365.517
397.697	305.361	399.165	259.968
340.184	133.253	343.882	76.776
371.694	340.494	391.145	340.367
317.632	131.844	332.212	135.04
301.007	234.511	324.739	228.117
103.893	143.142	110.41	203.076
300.007	-4.462	309.715	45.738
382.569	293.465	406.48	290.377
116.122	219.123	118.762	219.413
156.256	290.913	163.225	310.064
321.399	20.168	328.306	20.448
22.354	287.678	39.367	284.295
139.103	106.824	151.854	131.331
170.241	127.215	183.833	99.567
54.06	327.214	71.311	336.688
225.908	34.145	239.856	34.972
382.598	16.295	393.532	17.83
393.453	118.796	398.147	160.197
67.288	216.628	73.874	217.24
202.932	237.503	230.772	250.065
149.799	93.234	157.644	123.864
266.9	82.834	274.031	81.351
103.691	151.653	111.744	153.653
166.24	181.195	209.161	196.851
60.942	336.371	76.498	332.043
139.593	49.241	155.758	47.936
273.207	255.365	307.117	285.282
186.185	201.015	202.735	196.333
20.624	379.132	30.418	342.658
312.863	231.623	314.773	209.388
162.957	60.982	171.7	41.87
380.28	181.244	404.534	172.364
108.248	62.338	118.059	91.501
327.062	168.664	351.244	179.256
27.5	135.167	38.292	44.94
350.357	402.858	358.81	366.019
178.728	173.51	198.817	185.232
43.578	346.364	43.703	275.352
128.436	63.321	138.187	63.255
334.243	368.967	335.69	324.48
97.186	41.606	124.294	123.311
230.194	49.946	239.434	92.414
324.055	69.941	345.33	61.972
22.34	226.527	34.584	225.688
277.645	240.845	284.578	340.9
272.336	352.046	286.723	348.689
180.092	282.592	191.078	284.148
174.609	178.58	174.936	203.391
219.031	339.231	230.71	316.993
360.236	10.071	382.55	3.219
88.718	398.113	95.655	398.775
79.56	255.949	97.891	251.967
154.919	203.035	181.254	139.746
129.987	11.126	136.83	11.588
344.18	301.302	347.666	301.364
65.302	86.321	76.454	80.587
182.352	389.394	212.303	410.171
165.468	362.229	178.303	363.57
223.509	307.133	227.902	262.839
255.911	291.241	269.019	293.505
386.105	189.753	396.739	188.238
88.339	344.779	97.39	345.23
85.21	64.009	107.439	68.324
315.939	247.981	321.53	248.361
318.057	88.966	347.28	144.899
42.215	182.249	48.591	182.664
380.085	16.652	390.565	19.859
44.541	85.178	73.317	56.952
54.291	1.427	60.61	44.919
365.996	377.699	374.188	377.829
202.468	117.801	203.161	156.394
53.761	206.06	70.12	208.3
130.741	248.065	147.9	252.131
254.999	137.939	272.857	51.873
119.653	241.669	129.764	171.23
135.609	339.559	145.649	305.674
53.104	143.243	65.173	135.369
