x0	y0	x1	y1
94.086	254.676	118.321	272.426
139.439	76.545	158.26	71.511
225.828	381.941	232.455	381.562
362.367	358.183	364.199	360.096
73.518	433.297	87.828	321.66
354.1	330.142	364.612	248.811
371.608	133.025	384.132	163.261
257.172	318.941	271.466	305.873
248.92	4.33	254.371	4.589
17.503	376.331	31.926	375.916
76.553	397.685	88.227	397.314
56.851	137.869	84.395	148.055
264.696	302.816	284.922	295.292
147.996	312.699	159.287	321.628
303.803	281.947	312.07	282.741
190.963	202.521	207.196	178.139
284.818	236.394	289.277	159.329
386.18	118.752	407.345	127.69
147.588	277.72	156.44	278.29
305.129	301.714	316.827	356.521
363.49	175.973	384.274	171.801
83.813	205.773	85.901	206.013
254.148	271.686	267.191	258.723
40.192	41.295	60.252	73.238
89.478	134.978	124.299	140.612
152.373	162.242	156.518	162.369
1.563	27.906	9.15	40.343
146.01	371.985	159.9	374.072
345.967	357.312	349.786	313.395
132.244	342.84	140.035	360.707
191.982	338.779	193.682	409.791
218.333	4.649	261.32	53.319
171.135	166.594	223.698	136.414
69.397	225.905	79.577	204.387
329.29	42.007	332.608	42.033
258.92	321.888	275.853	319.462
313.405	301.003	321.987	290.71
26.868	16.771	59.487	24.949
275.172	195.863	303.796	189.872
156.124	354.843	172.896	381.571
326.895	50.844	329.862	-17.621
252.769	116.207	264.879	118.986
305.388	177.594	320.958	223.087
210.482	231.317	231.947	256.482
209.505	124.373	214.27	87.026
303.687	174.984	327.798	163.495
6.065	199.191	12.6	94.06
183.78	375.867	198.004	378.138
289.043	49.415	296.808	49.564
270.057	32.066	284.129	23.961
190.537	349.516	191.559	421.938
343.068	139.322	345.9	214.687
167.133	150.019	183.345	146.199
96.288	77.364	99.55	58.831
15.724	18.291	40.819	25.062
20.812	274.31	58.761	251.952
116.536	235.656	136.481	226.874
206.41	443.767	208.497	345.915
251.539	243.116	278.065	239.918
152.493	28.855	172.971	23.105
345.438	72.606	384.863	57.082
115.391	196.172	119.492	184.146
182.292	0.96	184.96	0.587
123.958	173.834	141.958	179.333
254.715	114.007	265.981	94.736
97.877	374.995	108.536	375.736
185.524	285.66	197.313	287.006
301.453	64.968	311.596	65.5
28.561	188.126	38.836	192.825
346.184	255.029	354.073	297.177
129.994	182.841	141.264	185.875
328.16	380.465	343.392	383.653
136.551	266.966	140.796	303.066
127.666	154.563	139.354	163.156
176.428	36.46	204.653	57.717
344.572	100.497	369.187	91.596
337.402	343.412	354.07	347.492
153.956	178.613	158.035	170.168
307.278	198.787	314.579	199.507
376.156	277.227	392.339	276.316
167.215	303.076	180.512	305.174
275.225	64.283	294.786	60.038
155.468	273.219	164.527	406.347
122.425	377.954	137.857	379.5
283.671	224.306	321.998	246.429
74.436	211.607	87.718	190.193
281.912	112.35	286.985	39.474
40.981	-0.736	56.372	2.206
86.392	354.817	109.999	347.245
43.523	51.292	71.121	55.997
94.873	26.277	96.83	-8.084
17.394	375.009	29.754	376.3
250.557	116.395	263.274	117.964
337.045	66.28	363.97	65.181
307.096	159.414	316.036	159.868
311.344	179.253	326.503	188.408
178.695	173.349	185.525	173.876
155.871	176.235	172.196	237.373
319.873	325.457	328.823	351.539
237.638	21.772	246.309	22.359
249.035	214.348	274.744	228.994
136.779	274.965	145.779	275.655
107.253	281.509	108.955	244.937
390.803	270.493	403.344	260.181
245.793	187.017	261.002	190.77
77.58	388.508	92.987	387.115
47.44	176	56.058	145.758
187.195	339.585	195.299	340.057
358.295	283.292	380.965	322.024
232.743	196.596	246.265	229.485
388.346	317.957	392.591	381.363
286.459	188.888	298.975	184.804
136.818	2.481	148.563	4.021
168.289	291.359	176.89	290.855
50.771	293.098	67.799	280.173
-5	81.181	15.462	68.76
277.962	277.274	294.491	239.58
36.327	201.548	46.22	232.035
176.338	154.718	180.69	113.538
247.456	255.605	264.625	254.722
391.593	281.149	401.878	382.211
193.071	281.79	203.404	285.39
192.487	163.843	194.993	114.997
63.11	69.34	75.644	33.322
292.464	151.8	311.393	158.663
176.989	372.939	186.128	369.603
202.874	321.826	206.062	321.687
73.54	301.422	92.496	305.535
84.471	384.667	98.455	381.133
226.709	395.533	249.861	399.598
223.352	239.066	236.546	246.087
21.061	57.514	40.59	-34.012
10.631	76.602	17.801	192.554
255.975	124.515	258.261	97.612
362.309	45.036	380.583	48.722
229.545	19.29	248.929	15.284
218.785	148.186	229.936	148.062
203.091	139.527	217.732	129.976
384.514	62.533	403.562	76.389
194.354	247.823	211.76	249.596
272.345	158.498	273.886	159.777
216.777	376.319	264.456	388.222
89.535	262.225	101.56	260.455
63.954	122.668	142.579	140.327
287.635	78.592	295.813	79.125
176.003	47.723	186.054	44.551
65.197	399.409	74.905	397.363
288.448	149.588	308.911	153.834
37.594	224.622	46.396	224.968
334.511	290.386	357.125	295.788
219.863	328.296	271.853	368.348
216.829	227.988	228.898	229.748
127.029	21.224	135.993	-12.396
175.414	361.898	187.091	363.155
184.703	314.772	215.65	301.751
64.184	150.944	80.509	155.059
205.438	47.293	218.266	27.944
18.026	8.407	42.195	31.316
106.353	307.455	115.851	349.475
67.54	327.56	102.62	335.9
89.102	288.78	138.731	235.006
357.01	61.418	359.066	44.845
174.899	108.173	182.089	165.275
301.78	296.302	322.208	288.795
334.824	358.914	369.671	366.919
159.626	279.509	170.873	277.449
21.843	81.484	29.204	111.78
132.353	288.238	136.037	227.048
287.363	50.003	291.618	174.597
133.249	383.085	136.843	383.025
248.376	109.982	255.956	16.735
330.667	148.227	341.825	186.444
325.334	95.413	359.571	106.195
150.553	57.66	162.534	17.853
146.225	330.404	158.17	331.77
338.643	219.379	377.714	200.865
246.503	265.311	268.95	268.887
296.005	162.439	296.858	164.184
235.905	338.169	248.337	335.903
358.221	294.989	364.244	294.855
115.648	154.145	119.336	124.434
73.26	379.754	79.748	379.397
351.99	283.653	357.171	233.69
190.218	18.802	212.454	9.421
345.492	223.607	356.154	253.552
64.864	176.934	86.49	155.321
298.752	12.759	307.731	48.759
283.803	213.309	295.796	209.13
371.245	351.173	383.735	418.693
213.692	259.255	224.426	307.737
280.512	207.673	288.884	235.108
150.91	96.742	160.214	97.623
38.14	347.143	42.558	275.291
370.099	259.85	371.743	261.703
112.205	332.078	114.381	332.118
222.218	251.505	250.24	267.335
37.625	188.158	50.663	195.711
328.715	191.775	343.691	204.276
120.713	150.181	133.658	153.717
310.267	173.413	316.014	186.975
100.932	335.995	113.075	315.406
84.291	372.06	90.625	370.962
201.37	59.536	212.067	58.449
106.578	314.55	108.583	285.308
64.044	389.191	80.891	391.335
201.785	393.693	213.076	386.141
220.141	138.171	230.085	142.33
43.575	153.298	59.75	161.861
86.983	370.627	118.111	390.134
274.721	38.127	299.627	47.192
382.55	415.003	386.578	332.805
36.964	138.47	43.149	138.459
295.904	220.512	314.674	205.937
373.437	216.755	384.936	214.28
325.114	328.867	329.794	242.907
120.141	142.857	126.493	181.776
248.238	59.091	271.426	63.14
380.261	101.102	382.423	171.084
375.938	249.865	387.048	251.459
109.248	9.344	162.735	36.554
94.534	324.637	115.446	356.698
61.927	112.651	70.436	57.465
124.858	215.383	132.876	216.187
200.785	54.486	207.315	54.704
362.904	131.5	376.271	128.392
201.973	252.095	206.795	244.766
101.616	108.484	104.481	96.301
12.731	253.708	24.438	254.193
159.488	196.464	174.797	192.073
335.478	380.402	347.723	370.14
129.616	345.071	148.168	340.93
46.049	147.237	59.105	149.469
142.767	147.571	156.823	103.79
247.698	331.445	257.438	331.383
150.107	194.675	161.956	166.798
264.812	122.931	286.891	129.772
271.431	39.212	280.1	39.034
214.04	22.225	229.881	29.696
161.465	270.926	182.235	280.64
177.032	267.046	185.144	267.394
118.856	373.751	126.299	349.887
213.506	116.716	249.177	124.639
356.126	373.402	372.17	372.845
48.413	83.909	65.671	77.677
162.528	352.515	169.51	281.388
82.037	112.66	86.704	67.045
163.075	10.796	179.925	13.809
47.54	344.783	58.612	344.845
175.231	259.255	192.846	288.831
371.805	376.021	382.561	377.639
293.807	273.32	315.773	267.363
368.71	317.832	377.618	356.664
171.895	139.363	204.648	150.152
238.53	136.919	244.341	176.974
176.884	232.725	211.107	221.425
42.448	6.989	44.597	69.133
92.676	23.209	105.505	131.819
190.258	232.879	208.553	237.574
146.948	281.183	151.345	320.02
370.668	347.383	377.085	346.408
196.996	153.259	222.193	144.178
123.729	297.747	129.986	341.305
105.238	24.203	117.135	22.448
303.401	247.63	326.632	251.119
271.171	148.124	290.799	137.189
62.768	235.873	69.254	234.469
23.644	329.414	27.922	401.614
297.95	80.744	305.815	78.81
241.22	168.117	255.108	127.149
66.093	268.589	69.568	268.537
20.589	319.462	29.182	295.054
39.769	225.544	47.454	192.254
142.727	344.609	162.646	317.851
65.745	210.373	69.704	211.304
108.827	205.322	130.095	196.081
70.224	167.812	83.543	168.166
100.913	192.72	104.823	97.118
55.021	43.167	89.964	55.576
186.011	95.598	195.84	142.931
300.094	107.413	316.495	113.928
2.376	305.814	19.854	310.366
209.966	324.803	211.883	297.742
343.939	59.12	360.316	55.91
142.984	207.546	155.466	204.875
12.212	235.356	26.156	242.437
55.174	219.788	55.728	184.886
124.036	154.493	133.157	154.386
56.341	170.767	67.524	170.112
40.434	9.679	65.349	-0.271
80.831	366.578	96.214	368.888
81.972	29.072	99.133	34.48
48.625	202.158	56.508	203.741
383.47	331.189	401.781	324.948
129.179	239.323	132.432	239.393
190.443	173.095	215.108	166.228
269.141	223.425	276.013	224.023
23.792	307.583	55.543	323.693
42.474	45.04	52.648	89.133
8.844	373.568	31.507	402.793
367.867	189.335	375.536	189.468
253.488	387.243	285.482	356.552
30.714	360.145	45.172	360.607
191.721	299.965	202.356	300.74
178.892	285.748	190.349	255.507
140.605	262.824	159.569	255.587
394.35	15.83	398.529	42.767
48.173	156.375	92.908	182.471
317.47	214.237	333.278	210.422
15.182	420.048	39.575	334.115
158.9	274.905	161.46	294.875
48.422	258.498	64.494	321.094
74.567	187.867	80.081	188.236
329.325	51.108	343.757	45.118
281.983	301.311	293.948	325.167
95.366	177.889	118.404	172.637
195.7	155.385	200.301	189.78
25.266	11.849	41.225	10.15
137.335	58.369	145.773	58.88
377.326	172.631	398.041	165.445
241.806	299.971	257.966	313.739
252.645	4.406	279.049	-0.593
104.632	218.084	145.36	264.793
144.263	356.793	180.289	367.669
394.631	268.752	402.231	296.577
337.123	104.489	346.943	105.541
365.748	332.792	397.09	348.069
319.47	134.346	330.374	132.538
265.383	216.469	360.363	246.158
104.692	164.062	109.611	182.157
301.062	1.654	308.659	39.622
387.723	287.234	401.326	296.608
111.126	233.795	123.759	204.742
158.926	318.528	160.555	282.45
313.251	19.02	336.455	21.597
28.53	237.003	33.191	334.97
143.122	100.174	147.835	137.982
172.714	99.64	181.36	127.142
57.624	332.22	67.747	331.682
224.664	43.168	241.1	25.948
381.452	21.169	394.678	12.957
389.847	150.337	401.753	128.656
63.98	226.759	77.182	207.11
179.449	262.485	254.255	225.084
151.922	74.624	155.521	142.473
268.272	82.093	272.659	82.092
101.391	151.75	114.044	153.555
177.878	190.427	197.523	187.619
64.376	353.523	73.064	314.892
138.114	41.313	157.237	55.865
286.888	270.121	293.436	270.525
187.339	196.439	201.58	200.909
20.295	361.353	30.747	360.438
308.769	219.975	318.868	221.036
153.289	84.002	181.368	18.849
358.952	146.954	425.862	206.653
103.467	82.424	122.84	71.414
328.325	179.088	349.981	168.833
31.145	90.237	34.646	89.869
350.283	355.225	358.884	413.652
164.703	185.359	212.841	173.383
36.43	299.617	50.851	322.099
123.407	57.618	143.216	68.958
331.73	335.928	338.203	357.518
108.734	17.885	112.746	147.031
227.996	72.445	241.632	69.915
322.702	61.652	346.684	70.261
23.98	215.25	32.943	236.965
277.568	269.42	284.655	312.325
266.287	354.01	292.772	346.725
183.4	257.163	187.77	309.576
171.302	200.088	178.243	181.882
224.068	309.309	225.673	346.915
367.636	6.6	375.151	6.689
86.368	399.446	98.006	397.443
80.083	256.187	97.368	251.729
163.153	172.349	173.019	170.432
115.137	5.592	151.68	17.122
345.893	352.384	345.953	250.282
58.965	86.446	82.791	80.461
194.394	379.237	200.261	420.327
166.359	344.095	177.412	381.704
222.164	284.851	229.247	285.121
255.398	292.044	269.532	292.702
381.242	186.035	401.601	191.955
85.29	315.381	100.439	374.628
93.967	66.44	98.682	65.892
310.504	247.294	326.965	249.049
331.076	116.96	334.261	116.905
39.347	193.426	51.46	171.487
378.074	20.834	392.575	15.677
47.848	75.133	70.01	66.996
50.459	58.653	64.443	-12.307
364.837	376.795	375.347	378.733
196.915	128.93	208.713	145.265
42.385	197.87	81.495	216.491
135.782	239.478	142.859	260.719
252.833	88.107	275.024	101.705
116.572	219.922	132.846	192.977
123.793	315.648	157.465	329.586
47.207	143.917	71.07	134.694
