x0	y0	x1	y1
93.519	254.26	118.888	272.842
144.595	75.166	153.104	72.89
223.292	382.085	234.99	381.417
354.044	349.496	372.522	368.783
79.642	385.517	81.703	369.44
353.608	333.942	365.103	245.011
376.432	144.671	379.308	151.615
261.924	314.597	266.715	310.217
243.096	4.053	260.195	4.867
7.085	376.631	42.344	375.616
75.663	397.714	89.117	397.286
65.324	141.003	75.921	144.922
240.915	311.662	308.704	286.446
139.35	305.861	167.933	328.467
285.414	280.181	330.459	284.506
196.49	194.22	201.669	186.44
286.663	204.512	287.432	191.211
377.644	115.146	415.881	131.295
146.755	277.667	157.273	278.343
307.262	311.707	314.694	346.527
362.958	176.079	384.806	171.695
77.212	205.015	92.502	206.771
235.021	290.697	286.318	239.712
46.392	51.167	54.052	63.366
92.284	135.432	121.493	140.158
150.35	162.179	158.542	162.432
-15.998	-0.88	26.711	69.129
146.945	372.126	158.965	373.932
346.627	349.721	349.126	320.986
135.502	350.311	136.777	353.236
192.681	367.968	192.983	380.602
221.344	8.059	258.309	49.91
194.599	153.122	200.234	149.886
69.128	226.473	79.846	203.819
325.618	41.978	336.281	42.062
258.305	321.977	276.468	319.374
312.715	301.83	322.677	289.883
27.874	17.023	58.481	24.696
267.948	197.375	311.02	188.361
160.11	361.196	168.909	375.218
328.229	20.057	328.528	13.165
236.416	112.454	281.233	122.74
310.249	191.796	316.097	208.884
214.885	236.479	227.545	251.321
207.543	139.756	216.233	71.643
314.153	169.997	317.332	168.482
9.163	149.348	9.502	143.902
129.338	367.175	252.446	386.829
283.484	49.307	302.367	49.672
271.084	31.474	283.101	24.552
190.616	355.079	191.48	416.374
343.651	154.853	345.316	199.156
158.305	152.099	192.172	144.119
94.084	89.89	101.754	46.305
16.875	18.601	39.669	24.751
38.357	263.973	41.216	262.289
105.972	240.307	147.045	222.222
207.433	395.811	207.474	393.87
258.59	242.266	271.015	240.768
151.393	29.164	174.071	22.796
335.084	76.682	395.217	53.005
116.039	194.272	118.844	186.047
175.29	1.938	191.963	-0.392
127.294	174.853	138.622	178.314
257.516	109.217	263.181	99.527
66.768	372.835	139.645	377.896
173.506	284.288	209.331	288.378
275.476	63.606	337.572	66.863
27.312	187.555	40.086	193.396
338.244	212.601	362.013	339.604
129.273	182.647	141.985	186.069
288.95	372.257	382.602	391.86
138.17	280.737	139.177	289.295
119.185	148.327	147.835	169.392
186.492	44.039	194.589	50.138
349.112	98.855	364.647	93.238
324.699	340.302	366.773	350.602
153.88	178.771	158.112	170.01
299.604	198.03	322.253	200.264
339.654	279.281	428.841	274.261
165.223	302.762	182.505	305.489
269.624	65.498	300.387	58.823
159.339	330.107	160.656	349.459
122.063	377.918	138.219	379.537
299.318	233.338	306.351	237.397
76.117	208.898	86.037	192.903
284.222	79.171	284.675	72.653
34.315	-2.01	63.039	3.48
90.025	353.652	106.366	348.41
38.765	50.48	75.878	56.809
94.847	26.735	96.856	-8.542
19.163	375.194	27.985	376.115
245.025	115.712	268.806	118.647
348.772	65.801	352.244	65.66
300.116	159.06	323.016	160.222
312.535	179.972	325.312	187.689
169.779	172.66	194.441	174.564
161.436	197.077	166.631	216.531
312.749	304.699	335.947	372.298
216.915	20.37	267.032	23.761
255.344	217.942	268.436	225.4
133.566	274.719	148.991	275.901
107.533	275.493	108.675	250.953
387.185	273.467	406.962	257.207
247.232	187.372	259.563	190.415
83.942	387.933	86.625	387.69
49.608	168.393	53.89	153.365
190.248	339.763	192.247	339.879
356.549	280.309	382.711	325.007
237.218	207.48	241.79	218.6
390.042	343.292	390.895	356.028
289.777	187.805	295.657	185.887
124.541	0.871	160.841	5.632
153.554	292.221	191.625	289.992
40.135	301.172	78.435	272.1
4.099	75.658	6.363	74.283
280.341	271.849	292.112	245.005
38.265	207.522	44.282	226.062
176.536	152.84	180.491	115.417
253.032	255.318	259.048	255.009
394.858	313.235	398.613	350.126
182.968	278.27	213.507	288.91
193.262	148.729	194.217	130.111
68.101	54.999	70.653	47.663
284.66	148.971	319.196	161.492
169.591	375.641	193.525	366.901
194.804	322.179	214.131	321.333
72.37	301.168	93.667	305.789
72.461	387.702	110.466	378.098
230.061	396.122	246.509	399.01
214.559	234.387	245.339	250.766
28.614	22.117	33.038	1.385
13.771	127.377	14.662	141.779
255.433	130.898	258.804	91.228
366.019	45.785	376.873	47.973
218.142	21.647	260.332	12.928
211.348	148.269	237.372	147.978
190.167	147.958	230.655	121.544
378.235	57.965	409.842	80.957
145.269	242.824	260.845	254.595
240.926	132.443	305.304	185.832
236.716	381.297	244.517	383.244
89.262	262.265	101.833	260.415
97.478	130.197	109.055	132.798
273.212	77.653	310.236	80.064
169.614	49.738	192.442	42.536
62.434	399.992	77.667	396.781
291.752	150.273	305.606	153.148
34.717	224.509	49.274	225.081
311.769	284.953	379.867	301.221
241.206	344.738	250.51	351.906
216.914	228	228.814	229.736
128.933	14.085	134.089	-5.256
162.003	360.454	200.502	364.598
195.973	310.03	204.38	306.493
52.723	148.056	91.97	157.948
205.358	47.414	218.347	27.823
20.358	10.618	39.862	29.105
109.983	323.512	112.222	333.418
48.393	323.007	121.766	340.452
105.95	270.525	121.883	253.261
357.313	58.968	358.762	47.294
176.896	124.033	180.092	149.415
297.076	298.031	326.912	287.066
343.329	360.868	361.166	364.965
134.127	284.178	196.372	272.779
24.543	92.597	26.504	100.667
133.975	261.305	134.415	253.981
289.378	109.021	289.602	115.579
130.358	383.133	139.735	382.976
251.442	72.255	252.889	54.462
326.158	132.784	346.334	201.887
327.104	95.97	357.802	105.637
152.971	49.626	160.116	25.886
139.68	329.655	164.715	332.519
355.274	211.498	361.083	208.746
249.837	265.842	265.615	268.356
293.922	158.175	298.941	168.447
233.44	338.618	250.802	335.454
353.87	295.086	368.595	294.759
116.117	150.366	118.867	128.214
70.301	379.917	82.707	379.234
354.453	259.904	354.708	257.439
196.244	16.259	206.428	11.963
342.496	215.19	359.15	261.969
51.441	190.349	99.914	141.906
296.277	2.838	310.205	58.68
273.947	216.743	305.652	205.696
375.316	373.181	379.664	396.685
215.163	265.902	222.954	301.09
281.305	210.272	288.09	232.509
152.259	96.87	158.865	97.495
39.022	332.805	41.677	289.629
350.627	237.905	391.215	283.647
99.936	331.854	126.65	332.343
231.466	256.729	240.993	262.111
36.188	187.326	52.1	196.543
300.292	168.05	372.114	228.002
98.241	144.043	156.13	159.855
306.643	164.864	319.638	195.525
102.224	333.805	111.783	317.596
71.164	374.338	103.752	368.684
201.146	59.559	212.291	58.426
107.011	308.237	108.15	291.62
63.983	389.183	80.952	391.343
203.679	392.426	211.182	387.408
214.255	135.709	235.971	144.791
46.015	154.59	57.31	160.57
95.667	376.069	109.427	384.692
278.961	39.67	295.388	45.649
383.976	385.905	385.152	361.903
32.03	138.479	48.083	138.451
273.465	237.936	337.113	188.513
373.962	216.642	384.411	214.393
326.378	305.656	328.53	266.118
115.434	114.018	131.2	210.614
251.364	59.637	268.299	62.594
381.064	127.101	381.62	145.086
360.918	247.711	402.068	253.613
131.316	20.57	140.667	25.328
94.523	324.62	115.457	356.715
64.91	93.305	67.453	76.811
124.554	215.352	133.181	216.217
186.851	54.022	221.249	55.168
356.312	133.033	382.863	126.86
196.689	260.124	212.078	236.737
101.393	109.434	104.704	95.352
