x	y
106.203	263.551
148.85	74.028
229.141	381.751
363.283	359.139
80.673	377.479
359.356	289.476
377.87	148.143
264.319	312.407
251.646	4.46
24.715	376.123
82.39	397.5
70.623	142.962
274.809	299.054
153.641	317.164
307.937	282.344
199.08	190.33
287.047	197.862
396.762	123.221
152.014	278.005
310.978	329.117
373.882	173.887
84.857	205.893
260.67	265.204
50.222	57.267
106.888	137.795
154.446	162.305
5.356	34.124
152.955	373.029
347.876	335.354
136.14	351.773
192.832	374.285
239.826	28.984
197.417	151.504
74.487	215.146
330.949	42.02
267.387	320.675
317.696	295.857
43.177	20.86
289.484	192.868
164.51	368.207
328.379	16.611
258.824	117.597
313.173	200.34
221.215	243.9
211.888	105.7
315.742	169.239
9.332	146.625
190.892	377.002
292.925	49.489
277.093	28.013
191.048	385.727
344.484	177.004
175.239	148.109
97.919	68.097
28.272	21.676
39.786	263.131
126.509	231.265
207.454	394.841
264.802	241.517
162.732	25.98
365.15	64.844
117.441	190.159
183.626	0.773
132.958	176.584
260.348	104.372
103.207	375.365
191.418	286.333
306.524	65.234
33.699	190.475
350.129	276.103
135.629	184.358
335.776	382.059
138.673	285.016
133.51	158.859
190.54	47.088
356.879	96.047
345.736	345.452
155.996	174.391
310.928	199.147
384.247	276.771
173.864	304.125
285.006	62.16
159.998	339.783
130.141	378.727
302.835	235.368
81.077	200.9
284.448	75.912
48.677	0.735
98.195	351.031
57.322	53.645
95.852	9.096
23.574	375.655
256.915	117.179
350.508	65.731
311.566	159.641
318.924	183.83
182.11	173.612
164.034	206.804
324.348	338.498
241.973	22.066
261.89	221.671
141.279	275.31
108.104	263.223
397.074	265.337
253.397	188.894
85.283	387.811
51.749	160.879
191.247	339.821
369.63	302.658
239.504	213.04
390.468	349.66
292.717	186.846
142.691	3.251
172.589	291.107
59.285	286.636
5.231	74.971
286.226	258.427
41.274	216.792
178.514	134.128
256.04	255.163
396.735	331.68
198.237	283.59
193.74	139.42
69.377	51.331
301.928	155.231
181.558	371.271
204.468	321.756
83.018	303.479
91.463	382.9
238.285	397.566
229.949	242.576
30.826	11.751
14.216	134.578
257.118	111.063
371.446	46.879
239.237	17.287
224.36	148.124
210.411	134.751
394.038	69.461
203.057	248.709
273.115	159.137
240.616	382.27
95.547	261.34
103.266	131.497
291.724	78.859
181.028	46.137
70.051	398.386
298.679	151.711
41.995	224.795
345.818	293.087
245.858	348.322
222.864	228.868
131.511	4.414
181.253	362.526
200.176	308.261
72.347	153.002
211.852	37.618
30.11	19.861
111.102	328.465
85.08	331.73
113.916	261.893
358.038	53.131
178.494	136.724
311.994	292.549
352.248	362.917
165.25	278.479
25.523	96.632
134.195	257.643
289.49	112.3
135.046	383.055
252.166	63.358
336.246	167.336
342.453	100.804
156.544	37.756
152.198	331.087
358.178	210.122
257.726	267.099
296.431	163.311
242.121	337.036
361.233	294.922
117.492	139.29
76.504	379.575
354.58	258.672
201.336	14.111
350.823	238.579
75.677	166.127
303.241	30.759
289.8	211.22
377.49	384.933
219.059	283.496
284.698	221.39
155.562	97.183
40.349	311.217
370.921	260.776
113.293	332.098
236.229	259.42
44.144	191.934
336.203	198.026
127.185	151.949
313.141	180.194
107.003	325.701
87.458	371.511
206.719	58.992
107.58	299.929
72.467	390.263
207.43	389.917
225.113	140.25
51.663	157.58
102.547	380.38
287.174	42.659
384.564	373.904
40.056	138.465
305.289	213.224
379.187	215.518
327.454	285.887
123.317	162.316
259.832	61.115
381.342	136.093
381.493	250.662
135.992	22.949
104.99	340.667
66.182	85.058
128.867	215.785
204.05	54.595
369.587	129.946
204.384	248.431
103.049	102.393
18.584	253.95
167.143	194.269
341.601	375.271
138.892	343.001
52.577	148.353
149.795	125.681
252.568	331.414
156.032	180.737
275.851	126.351
275.765	39.123
221.96	25.96
171.85	275.783
181.088	267.22
122.577	361.819
231.342	120.677
364.148	373.123
57.042	80.793
166.019	316.952
84.37	89.852
171.5	12.303
53.076	344.814
184.039	274.043
377.183	376.83
304.79	270.342
373.164	337.248
188.271	144.758
241.435	156.946
193.996	227.075
43.523	38.061
99.091	77.514
199.406	235.227
149.147	300.602
373.877	346.896
209.594	148.718
126.858	319.526
111.186	23.326
315.016	249.374
280.985	142.657
66.011	235.171
25.783	365.514
301.882	79.777
248.164	147.633
67.831	268.563
24.886	307.258
43.612	208.899
152.687	331.23
67.724	210.838
119.461	200.702
76.884	167.989
102.868	144.919
72.493	49.372
190.925	119.265
308.295	110.671
11.115	308.09
210.924	311.273
352.128	57.515
149.225	206.21
19.184	238.896
55.451	202.337
128.597	154.44
61.933	170.439
52.891	4.704
88.522	367.733
90.552	31.776
52.567	202.95
392.625	328.069
130.805	239.358
202.776	169.661
272.577	223.724
39.668	315.638
47.561	67.086
20.176	388.181
371.702	189.401
269.485	371.897
37.943	360.376
197.038	300.353
184.621	270.628
150.087	259.205
396.44	29.299
70.54	169.423
325.374	212.33
27.379	377.082
160.18	284.89
56.458	289.796
77.324	188.051
336.541	48.113
287.966	313.239
106.885	175.263
198.001	172.582
33.246	10.999
141.554	58.625
387.684	169.038
249.886	306.855
265.847	1.907
124.996	241.438
162.276	362.231
398.431	282.665
342.033	105.015
381.419	340.43
324.922	133.442
312.873	231.314
107.151	173.109
304.861	20.638
394.525	291.921
117.442	219.268
159.74	300.489
324.853	20.308
30.861	285.986
145.479	119.078
177.037	113.391
62.686	331.951
232.882	34.558
388.065	17.063
395.8	139.496
70.581	216.934
216.852	243.784
153.722	108.549
270.466	82.092
107.718	152.653
187.7	189.023
68.72	334.207
147.676	48.589
290.162	270.323
194.46	198.674
25.521	360.895
313.818	220.506
